State,Condition Group,Condition,COVID-19 Deaths
Minnesota,Respiratory diseases,Adult respiratory distress syndrome,748
Minnesota,Respiratory diseases,Respiratory failure,1683
Minnesota,Respiratory diseases,Respiratory arrest,44
Minnesota,Respiratory diseases,Other diseases of the respiratory system,264
Minnesota,Circulatory diseases,Hypertensive diseases,1594
Minnesota,Circulatory diseases,Ischemic heart disease,816
Minnesota,Circulatory diseases,Cardiac arrest,163
Minnesota,Circulatory diseases,Cardiac arrhythmia,740
Minnesota,Circulatory diseases,Heart failure,778
Minnesota,Circulatory diseases,Cerebrovascular diseases,527
Minnesota,Circulatory diseases,Other diseases of the circulatory system,621
Minnesota,Sepsis,Sepsis,341
Minnesota,Malignant neoplasms,Malignant neoplasms,441
Minnesota,Diabetes,Diabetes,1142
Minnesota,Obesity,Obesity,234
Minnesota,Alzheimer disease,Alzheimer disease,581
Minnesota,Vascular and unspecified dementia,Vascular and unspecified dementia,1373
Minnesota,Renal failure,Renal failure,507
Minnesota,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",218
Minnesota,All other conditions and causes (residual),All other conditions and causes (residual),3096
Mississippi,Respiratory diseases,Influenza and pneumonia,2446
Mississippi,Respiratory diseases,Chronic lower respiratory diseases,484
Mississippi,Respiratory diseases,Adult respiratory distress syndrome,744
Mississippi,Respiratory diseases,Respiratory failure,2513
Mississippi,Respiratory diseases,Respiratory arrest,176
Mississippi,Respiratory diseases,Other diseases of the respiratory system,200
Mississippi,Circulatory diseases,Hypertensive diseases,1466
Mississippi,Circulatory diseases,Ischemic heart disease,571
Mississippi,Circulatory diseases,Cardiac arrest,575
Mississippi,Circulatory diseases,Cardiac arrhythmia,315
Mississippi,Circulatory diseases,Heart failure,546
Mississippi,Circulatory diseases,Cerebrovascular diseases,299
Mississippi,Circulatory diseases,Other diseases of the circulatory system,409
Mississippi,Sepsis,Sepsis,473
Mississippi,Malignant neoplasms,Malignant neoplasms,291
Mississippi,Diabetes,Diabetes,936
Mississippi,Obesity,Obesity,194
Mississippi,Alzheimer disease,Alzheimer disease,200
Mississippi,Vascular and unspecified dementia,Vascular and unspecified dementia,379
Mississippi,Renal failure,Renal failure,497
Mississippi,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",70
Mississippi,All other conditions and causes (residual),All other conditions and causes (residual),1802
Missouri,Respiratory diseases,Influenza and pneumonia,3121
Missouri,Respiratory diseases,Chronic lower respiratory diseases,646
Missouri,Respiratory diseases,Adult respiratory distress syndrome,598
Missouri,Respiratory diseases,Respiratory failure,2677
Missouri,Respiratory diseases,Respiratory arrest,111
Missouri,Respiratory diseases,Other diseases of the respiratory system,291
Missouri,Circulatory diseases,Hypertensive diseases,853
Missouri,Circulatory diseases,Ischemic heart disease,675
Missouri,Circulatory diseases,Cardiac arrest,403
Missouri,Circulatory diseases,Cardiac arrhythmia,553
Missouri,Circulatory diseases,Heart failure,609
Missouri,Circulatory diseases,Cerebrovascular diseases,402
Missouri,Circulatory diseases,Other diseases of the circulatory system,408
Missouri,Sepsis,Sepsis,700
Missouri,Malignant neoplasms,Malignant neoplasms,340
Missouri,Diabetes,Diabetes,783
Missouri,Obesity,Obesity,178
Missouri,Alzheimer disease,Alzheimer disease,429
Missouri,Vascular and unspecified dementia,Vascular and unspecified dementia,766
Missouri,Renal failure,Renal failure,827
Missouri,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",104
Missouri,All other conditions and causes (residual),All other conditions and causes (residual),2796
Montana,Respiratory diseases,Influenza and pneumonia,536
Montana,Respiratory diseases,Chronic lower respiratory diseases,221
Montana,Respiratory diseases,Adult respiratory distress syndrome,75
Montana,Respiratory diseases,Respiratory failure,612
Montana,Respiratory diseases,Respiratory arrest,24
Montana,Respiratory diseases,Other diseases of the respiratory system,67
Montana,Circulatory diseases,Hypertensive diseases,272
Montana,Circulatory diseases,Ischemic heart disease,205
Montana,Circulatory diseases,Cardiac arrest,67
Montana,Circulatory diseases,Cardiac arrhythmia,123
Montana,Circulatory diseases,Heart failure,108
Montana,Circulatory diseases,Cerebrovascular diseases,70
Montana,Circulatory diseases,Other diseases of the circulatory system,132
Montana,Sepsis,Sepsis,87
Montana,Malignant neoplasms,Malignant neoplasms,68
Montana,Diabetes,Diabetes,255
Montana,Obesity,Obesity,70
Montana,Alzheimer disease,Alzheimer disease,47
Montana,Vascular and unspecified dementia,Vascular and unspecified dementia,161
Montana,Renal failure,Renal failure,102
Montana,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",35
Montana,All other conditions and causes (residual),All other conditions and causes (residual),647
Nebraska,Respiratory diseases,Influenza and pneumonia,809
Nebraska,Respiratory diseases,Chronic lower respiratory diseases,286
Nebraska,Respiratory diseases,Adult respiratory distress syndrome,192
Nebraska,Respiratory diseases,Respiratory failure,953
Nebraska,Respiratory diseases,Respiratory arrest,123
Nebraska,Respiratory diseases,Other diseases of the respiratory system,100
Nebraska,Circulatory diseases,Hypertensive diseases,432
Nebraska,Circulatory diseases,Ischemic heart disease,259
Nebraska,Circulatory diseases,Cardiac arrest,192
Nebraska,Circulatory diseases,Cardiac arrhythmia,253
Nebraska,Circulatory diseases,Heart failure,242
Nebraska,Circulatory diseases,Cerebrovascular diseases,140
Nebraska,Circulatory diseases,Other diseases of the circulatory system,197
Nebraska,Sepsis,Sepsis,167
Nebraska,Malignant neoplasms,Malignant neoplasms,142
Nebraska,Diabetes,Diabetes,396
Nebraska,Obesity,Obesity,92
Nebraska,Alzheimer disease,Alzheimer disease,126
Nebraska,Vascular and unspecified dementia,Vascular and unspecified dementia,327
Nebraska,Renal failure,Renal failure,230
Nebraska,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",48
Nebraska,All other conditions and causes (residual),All other conditions and causes (residual),1074
Nevada,Respiratory diseases,Influenza and pneumonia,2560
Nevada,Respiratory diseases,Chronic lower respiratory diseases,229
Nevada,Respiratory diseases,Adult respiratory distress syndrome,1494
Nevada,Respiratory diseases,Respiratory failure,1055
Nevada,Respiratory diseases,Respiratory arrest,69
Nevada,Respiratory diseases,Other diseases of the respiratory system,103
Nevada,Circulatory diseases,Hypertensive diseases,513
Nevada,Circulatory diseases,Ischemic heart disease,252
Nevada,Circulatory diseases,Cardiac arrest,823
Nevada,Circulatory diseases,Cardiac arrhythmia,182
Nevada,Circulatory diseases,Heart failure,211
Nevada,Circulatory diseases,Cerebrovascular diseases,132
Nevada,Circulatory diseases,Other diseases of the circulatory system,173
Nevada,Sepsis,Sepsis,499
Nevada,Malignant neoplasms,Malignant neoplasms,119
Nevada,Diabetes,Diabetes,467
Nevada,Obesity,Obesity,138
Nevada,Alzheimer disease,Alzheimer disease,43
Nevada,Vascular and unspecified dementia,Vascular and unspecified dementia,141
Nevada,Renal failure,Renal failure,315
Nevada,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",63
Nevada,All other conditions and causes (residual),All other conditions and causes (residual),1463
New Hampshire,Respiratory diseases,Influenza and pneumonia,180
New Hampshire,Respiratory diseases,Chronic lower respiratory diseases,82
New Hampshire,Respiratory diseases,Adult respiratory distress syndrome,52
New Hampshire,Respiratory diseases,Respiratory failure,254
New Hampshire,Respiratory diseases,Respiratory arrest,20
New Hampshire,Respiratory diseases,Other diseases of the respiratory system,31
New Hampshire,Circulatory diseases,Hypertensive diseases,85
New Hampshire,Circulatory diseases,Ischemic heart disease,74
New Hampshire,Circulatory diseases,Cardiac arrest,45
New Hampshire,Circulatory diseases,Cardiac arrhythmia,63
New Hampshire,Circulatory diseases,Heart failure,83
New Hampshire,Circulatory diseases,Cerebrovascular diseases,36
New Hampshire,Circulatory diseases,Other diseases of the circulatory system,51
New Hampshire,Sepsis,Sepsis,40
New Hampshire,Malignant neoplasms,Malignant neoplasms,27
New Hampshire,Diabetes,Diabetes,86
New Hampshire,Obesity,Obesity,13
New Hampshire,Alzheimer disease,Alzheimer disease,34
New Hampshire,Vascular and unspecified dementia,Vascular and unspecified dementia,178
New Hampshire,Renal failure,Renal failure,63
New Hampshire,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",18
New Hampshire,All other conditions and causes (residual),All other conditions and causes (residual),291
New Jersey,Respiratory diseases,Influenza and pneumonia,8391
New Jersey,Respiratory diseases,Chronic lower respiratory diseases,1013
New Jersey,Respiratory diseases,Adult respiratory distress syndrome,2880
New Jersey,Respiratory diseases,Respiratory failure,7562
New Jersey,Respiratory diseases,Respiratory arrest,592
New Jersey,Respiratory diseases,Other diseases of the respiratory system,593
New Jersey,Circulatory diseases,Hypertensive diseases,2739
New Jersey,Circulatory diseases,Ischemic heart disease,1778
New Jersey,Circulatory diseases,Cardiac arrest,3592
New Jersey,Circulatory diseases,Cardiac arrhythmia,1156
New Jersey,Circulatory diseases,Heart failure,1016
New Jersey,Circulatory diseases,Cerebrovascular diseases,822
New Jersey,Circulatory diseases,Other diseases of the circulatory system,951
New Jersey,Sepsis,Sepsis,1860
New Jersey,Malignant neoplasms,Malignant neoplasms,776
New Jersey,Diabetes,Diabetes,1955
New Jersey,Obesity,Obesity,379
New Jersey,Alzheimer disease,Alzheimer disease,421
New Jersey,Vascular and unspecified dementia,Vascular and unspecified dementia,1591
New Jersey,Renal failure,Renal failure,1695
New Jersey,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",299
New Jersey,All other conditions and causes (residual),All other conditions and causes (residual),6497
New Mexico,Respiratory diseases,Influenza and pneumonia,1304
New Mexico,Respiratory diseases,Chronic lower respiratory diseases,225
New Mexico,Respiratory diseases,Adult respiratory distress syndrome,264
New Mexico,Respiratory diseases,Respiratory failure,731
New Mexico,Respiratory diseases,Respiratory arrest,50
New Mexico,Respiratory diseases,Other diseases of the respiratory system,86
New Mexico,Circulatory diseases,Hypertensive diseases,429
New Mexico,Circulatory diseases,Ischemic heart disease,345
New Mexico,Circulatory diseases,Cardiac arrest,211
New Mexico,Circulatory diseases,Cardiac arrhythmia,102
New Mexico,Circulatory diseases,Heart failure,102
New Mexico,Circulatory diseases,Cerebrovascular diseases,89
New Mexico,Circulatory diseases,Other diseases of the circulatory system,117
New Mexico,Sepsis,Sepsis,192
New Mexico,Malignant neoplasms,Malignant neoplasms,84
New Mexico,Diabetes,Diabetes,482
New Mexico,Obesity,Obesity,167
New Mexico,Alzheimer disease,Alzheimer disease,89
New Mexico,Vascular and unspecified dementia,Vascular and unspecified dementia,236
New Mexico,Renal failure,Renal failure,191
New Mexico,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",37
New Mexico,All other conditions and causes (residual),All other conditions and causes (residual),835
New York,Respiratory diseases,Influenza and pneumonia,6902
New York,Respiratory diseases,Chronic lower respiratory diseases,1106
New York,Respiratory diseases,Adult respiratory distress syndrome,2777
New York,Respiratory diseases,Respiratory failure,5397
New York,Respiratory diseases,Respiratory arrest,527
New York,Respiratory diseases,Other diseases of the respiratory system,366
New York,Circulatory diseases,Hypertensive diseases,2311
New York,Circulatory diseases,Ischemic heart disease,1577
New York,Circulatory diseases,Cardiac arrest,3951
New York,Circulatory diseases,Cardiac arrhythmia,887
New York,Circulatory diseases,Heart failure,913
New York,Circulatory diseases,Cerebrovascular diseases,533
New York,Circulatory diseases,Other diseases of the circulatory system,789
New York,Sepsis,Sepsis,1069
New York,Malignant neoplasms,Malignant neoplasms,667
New York,Diabetes,Diabetes,1594
New York,Obesity,Obesity,306
New York,Alzheimer disease,Alzheimer disease,355
New York,Vascular and unspecified dementia,Vascular and unspecified dementia,1866
New York,Renal failure,Renal failure,1198
New York,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",196
New York,All other conditions and causes (residual),All other conditions and causes (residual),5049
New York City,Respiratory diseases,Influenza and pneumonia,8954
New York City,Respiratory diseases,Chronic lower respiratory diseases,1061
New York City,Respiratory diseases,Adult respiratory distress syndrome,3382
New York City,Respiratory diseases,Respiratory failure,6280
New York City,Respiratory diseases,Respiratory arrest,489
New York City,Respiratory diseases,Other diseases of the respiratory system,472
New York City,Circulatory diseases,Hypertensive diseases,5028
New York City,Circulatory diseases,Ischemic heart disease,2093
New York City,Circulatory diseases,Cardiac arrest,4688
New York City,Circulatory diseases,Cardiac arrhythmia,590
New York City,Circulatory diseases,Heart failure,707
New York City,Circulatory diseases,Cerebrovascular diseases,548
New York City,Circulatory diseases,Other diseases of the circulatory system,645
New York City,Sepsis,Sepsis,798
New York City,Malignant neoplasms,Malignant neoplasms,812
New York City,Diabetes,Diabetes,3114
New York City,Obesity,Obesity,455
New York City,Alzheimer disease,Alzheimer disease,255
New York City,Vascular and unspecified dementia,Vascular and unspecified dementia,981
New York City,Renal failure,Renal failure,761
New York City,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",126
New York City,All other conditions and causes (residual),All other conditions and causes (residual),4129
North Carolina,Respiratory diseases,Influenza and pneumonia,2307
North Carolina,Respiratory diseases,Chronic lower respiratory diseases,433
North Carolina,Respiratory diseases,Adult respiratory distress syndrome,449
North Carolina,Respiratory diseases,Respiratory failure,1955
North Carolina,Respiratory diseases,Respiratory arrest,65
North Carolina,Respiratory diseases,Other diseases of the respiratory system,215
North Carolina,Circulatory diseases,Hypertensive diseases,653
North Carolina,Circulatory diseases,Ischemic heart disease,430
North Carolina,Circulatory diseases,Cardiac arrest,504
North Carolina,Circulatory diseases,Cardiac arrhythmia,370
North Carolina,Circulatory diseases,Heart failure,445
North Carolina,Circulatory diseases,Cerebrovascular diseases,267
North Carolina,Circulatory diseases,Other diseases of the circulatory system,320
North Carolina,Sepsis,Sepsis,529
North Carolina,Malignant neoplasms,Malignant neoplasms,225
North Carolina,Diabetes,Diabetes,672
North Carolina,Obesity,Obesity,185
North Carolina,Alzheimer disease,Alzheimer disease,202
North Carolina,Vascular and unspecified dementia,Vascular and unspecified dementia,729
North Carolina,Renal failure,Renal failure,653
North Carolina,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",102
North Carolina,All other conditions and causes (residual),All other conditions and causes (residual),2074
North Dakota,Respiratory diseases,Influenza and pneumonia,711
North Dakota,Respiratory diseases,Chronic lower respiratory diseases,172
North Dakota,Respiratory diseases,Adult respiratory distress syndrome,129
North Dakota,Respiratory diseases,Respiratory failure,535
North Dakota,Respiratory diseases,Respiratory arrest,45
North Dakota,Respiratory diseases,Other diseases of the respiratory system,67
North Dakota,Circulatory diseases,Hypertensive diseases,200
North Dakota,Circulatory diseases,Ischemic heart disease,167
North Dakota,Circulatory diseases,Cardiac arrest,93
North Dakota,Circulatory diseases,Cardiac arrhythmia,116
North Dakota,Circulatory diseases,Heart failure,173
North Dakota,Circulatory diseases,Cerebrovascular diseases,86
North Dakota,Circulatory diseases,Other diseases of the circulatory system,114
North Dakota,Sepsis,Sepsis,114
North Dakota,Malignant neoplasms,Malignant neoplasms,84
North Dakota,Diabetes,Diabetes,176
North Dakota,Obesity,Obesity,54
North Dakota,Alzheimer disease,Alzheimer disease,134
North Dakota,Vascular and unspecified dementia,Vascular and unspecified dementia,143
North Dakota,Renal failure,Renal failure,198
North Dakota,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",40
North Dakota,All other conditions and causes (residual),All other conditions and causes (residual),678
Ohio,Respiratory diseases,Influenza and pneumonia,6114
Ohio,Respiratory diseases,Chronic lower respiratory diseases,1307
Ohio,Respiratory diseases,Adult respiratory distress syndrome,1457
Ohio,Respiratory diseases,Respiratory failure,5596
Ohio,Respiratory diseases,Respiratory arrest,269
Ohio,Respiratory diseases,Other diseases of the respiratory system,503
Ohio,Circulatory diseases,Hypertensive diseases,1964
Ohio,Circulatory diseases,Ischemic heart disease,1485
Ohio,Circulatory diseases,Cardiac arrest,1295
Ohio,Circulatory diseases,Cardiac arrhythmia,991
Ohio,Circulatory diseases,Heart failure,1159
Ohio,Circulatory diseases,Cerebrovascular diseases,801
Ohio,Circulatory diseases,Other diseases of the circulatory system,883
Ohio,Sepsis,Sepsis,1170
Ohio,Malignant neoplasms,Malignant neoplasms,665
Ohio,Diabetes,Diabetes,1694
Ohio,Obesity,Obesity,276
Ohio,Alzheimer disease,Alzheimer disease,748
Ohio,Vascular and unspecified dementia,Vascular and unspecified dementia,1865
Ohio,Renal failure,Renal failure,1105
Ohio,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",224
Ohio,All other conditions and causes (residual),All other conditions and causes (residual),5624
Oklahoma,Respiratory diseases,Influenza and pneumonia,1739
Oklahoma,Respiratory diseases,Chronic lower respiratory diseases,745
Oklahoma,Respiratory diseases,Adult respiratory distress syndrome,310
Oklahoma,Respiratory diseases,Respiratory failure,1205
Oklahoma,Respiratory diseases,Respiratory arrest,83
Oklahoma,Respiratory diseases,Other diseases of the respiratory system,274
Oklahoma,Circulatory diseases,Hypertensive diseases,1976
Oklahoma,Circulatory diseases,Ischemic heart disease,702
Oklahoma,Circulatory diseases,Cardiac arrest,300
Oklahoma,Circulatory diseases,Cardiac arrhythmia,465
Oklahoma,Circulatory diseases,Heart failure,518
Oklahoma,Circulatory diseases,Cerebrovascular diseases,323
Oklahoma,Circulatory diseases,Other diseases of the circulatory system,284
Oklahoma,Sepsis,Sepsis,560
Oklahoma,Malignant neoplasms,Malignant neoplasms,285
Oklahoma,Diabetes,Diabetes,1290
Oklahoma,Obesity,Obesity,372
Oklahoma,Alzheimer disease,Alzheimer disease,299
Oklahoma,Vascular and unspecified dementia,Vascular and unspecified dementia,619
Oklahoma,Renal failure,Renal failure,469
Oklahoma,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",130
Oklahoma,All other conditions and causes (residual),All other conditions and causes (residual),2147
Oregon,Respiratory diseases,Influenza and pneumonia,480
Oregon,Respiratory diseases,Chronic lower respiratory diseases,165
Oregon,Respiratory diseases,Adult respiratory distress syndrome,143
Oregon,Respiratory diseases,Respiratory failure,417
Oregon,Respiratory diseases,Respiratory arrest,21
Oregon,Respiratory diseases,Other diseases of the respiratory system,77
Oregon,Circulatory diseases,Hypertensive diseases,254
Oregon,Circulatory diseases,Ischemic heart disease,165
Oregon,Circulatory diseases,Cardiac arrest,60
Oregon,Circulatory diseases,Cardiac arrhythmia,160
Oregon,Circulatory diseases,Heart failure,196
Oregon,Circulatory diseases,Cerebrovascular diseases,107
Oregon,Circulatory diseases,Other diseases of the circulatory system,131
Oregon,Sepsis,Sepsis,100
Oregon,Malignant neoplasms,Malignant neoplasms,98
Oregon,Diabetes,Diabetes,279
Oregon,Obesity,Obesity,81
Oregon,Alzheimer disease,Alzheimer disease,131
Oregon,Vascular and unspecified dementia,Vascular and unspecified dementia,305
Oregon,Renal failure,Renal failure,151
Oregon,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",37
Oregon,All other conditions and causes (residual),All other conditions and causes (residual),725
Pennsylvania,Respiratory diseases,Influenza and pneumonia,6435
Pennsylvania,Respiratory diseases,Chronic lower respiratory diseases,1588
Pennsylvania,Respiratory diseases,Adult respiratory distress syndrome,1437
Pennsylvania,Respiratory diseases,Respiratory failure,7292
Pennsylvania,Respiratory diseases,Respiratory arrest,372
Pennsylvania,Respiratory diseases,Other diseases of the respiratory system,577
Pennsylvania,Circulatory diseases,Hypertensive diseases,3045
Pennsylvania,Circulatory diseases,Ischemic heart disease,1985
Pennsylvania,Circulatory diseases,Cardiac arrest,1157
Pennsylvania,Circulatory diseases,Cardiac arrhythmia,1550
Pennsylvania,Circulatory diseases,Heart failure,1605
Pennsylvania,Circulatory diseases,Cerebrovascular diseases,1068
Pennsylvania,Circulatory diseases,Other diseases of the circulatory system,1210
Pennsylvania,Sepsis,Sepsis,1353
Pennsylvania,Malignant neoplasms,Malignant neoplasms,884
Pennsylvania,Diabetes,Diabetes,2195
Pennsylvania,Obesity,Obesity,469
Pennsylvania,Alzheimer disease,Alzheimer disease,774
Pennsylvania,Vascular and unspecified dementia,Vascular and unspecified dementia,2787
Pennsylvania,Renal failure,Renal failure,1520
Pennsylvania,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",394
Pennsylvania,All other conditions and causes (residual),All other conditions and causes (residual),6790
Rhode Island,Respiratory diseases,Influenza and pneumonia,725
Rhode Island,Respiratory diseases,Chronic lower respiratory diseases,207
Rhode Island,Respiratory diseases,Adult respiratory distress syndrome,296
Rhode Island,Respiratory diseases,Respiratory failure,517
Rhode Island,Respiratory diseases,Respiratory arrest,37
Rhode Island,Respiratory diseases,Other diseases of the respiratory system,79
Rhode Island,Circulatory diseases,Hypertensive diseases,311
Rhode Island,Circulatory diseases,Ischemic heart disease,256
Rhode Island,Circulatory diseases,Cardiac arrest,162
Rhode Island,Circulatory diseases,Cardiac arrhythmia,141
Rhode Island,Circulatory diseases,Heart failure,208
Rhode Island,Circulatory diseases,Cerebrovascular diseases,107
Rhode Island,Circulatory diseases,Other diseases of the circulatory system,130
Rhode Island,Sepsis,Sepsis,111
Rhode Island,Malignant neoplasms,Malignant neoplasms,120
Rhode Island,Diabetes,Diabetes,215
Rhode Island,Obesity,Obesity,40
Rhode Island,Alzheimer disease,Alzheimer disease,117
Rhode Island,Vascular and unspecified dementia,Vascular and unspecified dementia,329
Rhode Island,Renal failure,Renal failure,182
Rhode Island,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",64
Rhode Island,All other conditions and causes (residual),All other conditions and causes (residual),739
South Carolina,Respiratory diseases,Influenza and pneumonia,2279
South Carolina,Respiratory diseases,Chronic lower respiratory diseases,537
South Carolina,Respiratory diseases,Adult respiratory distress syndrome,666
South Carolina,Respiratory diseases,Respiratory failure,2725
South Carolina,Respiratory diseases,Respiratory arrest,164
South Carolina,Respiratory diseases,Other diseases of the respiratory system,306
South Carolina,Circulatory diseases,Hypertensive diseases,938
South Carolina,Circulatory diseases,Ischemic heart disease,584
South Carolina,Circulatory diseases,Cardiac arrest,522
South Carolina,Circulatory diseases,Cardiac arrhythmia,580
South Carolina,Circulatory diseases,Heart failure,532
South Carolina,Circulatory diseases,Cerebrovascular diseases,367
South Carolina,Circulatory diseases,Other diseases of the circulatory system,403
South Carolina,Sepsis,Sepsis,828
South Carolina,Malignant neoplasms,Malignant neoplasms,204
South Carolina,Diabetes,Diabetes,964
South Carolina,Obesity,Obesity,213
South Carolina,Alzheimer disease,Alzheimer disease,199
South Carolina,Vascular and unspecified dementia,Vascular and unspecified dementia,650
South Carolina,Renal failure,Renal failure,764
South Carolina,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",192
South Carolina,All other conditions and causes (residual),All other conditions and causes (residual),2912
South Dakota,Respiratory diseases,Influenza and pneumonia,618
South Dakota,Respiratory diseases,Chronic lower respiratory diseases,231
South Dakota,Respiratory diseases,Adult respiratory distress syndrome,182
South Dakota,Respiratory diseases,Respiratory failure,613
South Dakota,Respiratory diseases,Respiratory arrest,45
South Dakota,Respiratory diseases,Other diseases of the respiratory system,90
South Dakota,Circulatory diseases,Hypertensive diseases,391
South Dakota,Circulatory diseases,Ischemic heart disease,229
South Dakota,Circulatory diseases,Cardiac arrest,97
South Dakota,Circulatory diseases,Cardiac arrhythmia,178
South Dakota,Circulatory diseases,Heart failure,215
South Dakota,Circulatory diseases,Cerebrovascular diseases,111
South Dakota,Circulatory diseases,Other diseases of the circulatory system,146
South Dakota,Sepsis,Sepsis,120
South Dakota,Malignant neoplasms,Malignant neoplasms,106
South Dakota,Diabetes,Diabetes,344
South Dakota,Obesity,Obesity,62
South Dakota,Alzheimer disease,Alzheimer disease,159
South Dakota,Vascular and unspecified dementia,Vascular and unspecified dementia,212
South Dakota,Renal failure,Renal failure,184
South Dakota,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",41
South Dakota,All other conditions and causes (residual),All other conditions and causes (residual),904
Tennessee,Respiratory diseases,Influenza and pneumonia,3729
Tennessee,Respiratory diseases,Chronic lower respiratory diseases,716
Tennessee,Respiratory diseases,Adult respiratory distress syndrome,607
Tennessee,Respiratory diseases,Respiratory failure,3150
Tennessee,Respiratory diseases,Respiratory arrest,108
Tennessee,Respiratory diseases,Other diseases of the respiratory system,342
Tennessee,Circulatory diseases,Hypertensive diseases,1258
Tennessee,Circulatory diseases,Ischemic heart disease,850
Tennessee,Circulatory diseases,Cardiac arrest,572
Tennessee,Circulatory diseases,Cardiac arrhythmia,612
Tennessee,Circulatory diseases,Heart failure,556
Tennessee,Circulatory diseases,Cerebrovascular diseases,444
Tennessee,Circulatory diseases,Other diseases of the circulatory system,510
Tennessee,Sepsis,Sepsis,874
Tennessee,Malignant neoplasms,Malignant neoplasms,352
Tennessee,Diabetes,Diabetes,1050
Tennessee,Obesity,Obesity,275
Tennessee,Alzheimer disease,Alzheimer disease,296
Tennessee,Vascular and unspecified dementia,Vascular and unspecified dementia,745
Tennessee,Renal failure,Renal failure,694
Tennessee,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",181
Tennessee,All other conditions and causes (residual),All other conditions and causes (residual),3170
Texas,Respiratory diseases,Influenza and pneumonia,16924
Texas,Respiratory diseases,Chronic lower respiratory diseases,2449
Texas,Respiratory diseases,Adult respiratory distress syndrome,2925
Texas,Respiratory diseases,Respiratory failure,11852
Texas,Respiratory diseases,Respiratory arrest,362
Texas,Respiratory diseases,Other diseases of the respiratory system,1566
Texas,Circulatory diseases,Hypertensive diseases,7523
Texas,Circulatory diseases,Ischemic heart disease,3659
Texas,Circulatory diseases,Cardiac arrest,2203
Texas,Circulatory diseases,Cardiac arrhythmia,2604
Texas,Circulatory diseases,Heart failure,2439
Texas,Circulatory diseases,Cerebrovascular diseases,1523
Texas,Circulatory diseases,Other diseases of the circulatory system,1968
Texas,Sepsis,Sepsis,4464
Texas,Malignant neoplasms,Malignant neoplasms,1235
Texas,Diabetes,Diabetes,6965
Texas,Obesity,Obesity,2041
Texas,Alzheimer disease,Alzheimer disease,1203
Texas,Vascular and unspecified dementia,Vascular and unspecified dementia,2358
Texas,Renal failure,Renal failure,4583
Texas,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",638
Texas,All other conditions and causes (residual),All other conditions and causes (residual),13360
Utah,Respiratory diseases,Influenza and pneumonia,636
Utah,Respiratory diseases,Chronic lower respiratory diseases,128
Utah,Respiratory diseases,Adult respiratory distress syndrome,300
Utah,Respiratory diseases,Respiratory failure,585
Utah,Respiratory diseases,Respiratory arrest,38
Utah,Respiratory diseases,Other diseases of the respiratory system,116
Utah,Circulatory diseases,Hypertensive diseases,226
Utah,Circulatory diseases,Ischemic heart disease,146
Utah,Circulatory diseases,Cardiac arrest,111
Utah,Circulatory diseases,Cardiac arrhythmia,105
Utah,Circulatory diseases,Heart failure,152
Utah,Circulatory diseases,Cerebrovascular diseases,85
Utah,Circulatory diseases,Other diseases of the circulatory system,132
Utah,Sepsis,Sepsis,179
Utah,Malignant neoplasms,Malignant neoplasms,87
Utah,Diabetes,Diabetes,249
Utah,Obesity,Obesity,120
Utah,Alzheimer disease,Alzheimer disease,100
Utah,Vascular and unspecified dementia,Vascular and unspecified dementia,161
Utah,Renal failure,Renal failure,170
